"Name of restaurant","City","Country Code","Day of week","Start Time Hour","Start Time Minute","End time Hour","End Time Minute"
"1 Abercrombie Lane","Sydney","AU","0.0","07","30","15","30"
"1 Abercrombie Lane","Sydney","AU","0.0","07","30","15","30"
"1 Abercrombie Lane","Sydney","AU","0.0","07","30","15","30"
"1 Abercrombie Lane","Sydney","AU","0.0","07","30","15","30"
"1 Abercrombie Lane","Sydney","AU","0.0","07","30","15","30"
"#1 Chicken Rice & Seafood","Houston","US","0.0","10","30","20","30"
"#1 Chicken Rice & Seafood","Houston","US","0.0","10","30","20","30"
"#1 Chicken Rice & Seafood","Houston","US","0.0","10","30","20","30"
"#1 Chicken Rice & Seafood","Houston","US","0.0","10","30","20","30"
"#1 Chicken Rice & Seafood","Houston","US","0.0","10","30","20","30"
"#1 Chicken Rice & Seafood","Houston","US","0.0","10","30","20","00"
"#1 Chinese Kitchen","San Jose","US","0.0","11","00","21","00"
"#1 Chinese Kitchen","San Jose","US","0.0","11","00","21","00"
"#1 Chinese Kitchen","San Jose","US","0.0","11","00","21","00"
"#1 Chinese Kitchen","San Jose","US","0.0","11","00","21","00"
"#1 Chinese Kitchen","San Jose","US","0.0","11","00","21","00"
"#1 Chinese Kitchen","San Jose","US","0.0","11","00","21","00"
"10' Custom Pizzeria","Braddon","AU","0.0","11","30","15","00"
"10' Custom Pizzeria","Braddon","AU","0.0","17","30","00","00"
"10' Custom Pizzeria","Braddon","AU","0.0","11","30","15","00"
"10' Custom Pizzeria","Braddon","AU","0.0","17","30","00","00"
"10' Custom Pizzeria","Braddon","AU","0.0","11","30","15","00"
"10' Custom Pizzeria","Braddon","AU","0.0","17","30","00","00"
"10' Custom Pizzeria","Braddon","AU","0.0","11","30","15","00"
"10' Custom Pizzeria","Braddon","AU","0.0","17","30","00","00"
"10' Custom Pizzeria","Braddon","AU","0.0","11","30","15","00"
"10' Custom Pizzeria","Braddon","AU","0.0","17","30","00","00"
"10' Custom Pizzeria","Braddon","AU","0.0","11","30","15","00"
"10' Custom Pizzeria","Braddon","AU","0.0","17","30","00","00"
"10' Custom Pizzeria","Braddon","AU","0.0","11","30","15","00"
"10' Custom Pizzeria","Braddon","AU","0.0","17","30","00","00"
"10 Greek Street","London","GB","0.0","12","00","23","30"
"10 Greek Street","London","GB","0.0","12","00","23","30"
"10 Greek Street","London","GB","0.0","12","00","23","30"
"10 Greek Street","London","GB","0.0","12","00","23","30"
"10 Greek Street","London","GB","0.0","12","00","23","30"
"10 Greek Street","London","GB","0.0","12","00","23","30"
"10 Greek Street","London","GB","0.0","17","30","23","00"
"100% de Agave","Denver","US","0.0","11","00","22","00"
"100% de Agave","Denver","US","0.0","11","00","22","00"
"100% de Agave","Denver","US","0.0","11","00","22","00"
"100% de Agave","Denver","US","0.0","11","00","22","00"
"100% de Agave","Denver","US","0.0","11","00","23","00"
"100% de Agave","Denver","US","0.0","11","00","23","00"
"100% de Agave","Denver","US","0.0","11","00","22","00"
